id,name,name_reverse,class,label,subject_class,object_class,new_class
2884,englische Sprache und Literatur,,person institution relation,hat Position inne >> Priv.-Doz. >> >> englische Sprache und Literatur,person,institution,PositionAn
2885,englische und amerikanische Sprache und Literatur,,person institution relation,hat Position inne >> Priv.-Doz. >> >> englische und amerikanische Sprache und Literatur,person,institution,PositionAn
2886,Experimentalphysik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Experimentalphysik,person,institution,PositionAn
2887,Geburtshilfe und Frauenheilkunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geburtshilfe und Frauenheilkunde,person,institution,PositionAn
2888,Geldgeschichte und Museumskunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geldgeschichte und Museumskunde,person,institution,PositionAn
2889,Geodäsie und Hydrometrie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geodäsie und Hydrometrie,person,institution,PositionAn
2890,Geographie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geographie,person,institution,PositionAn
2891,Geographie mit besonderer Berücksichtigung der Kartographie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geographie mit besonderer Berücksichtigung der Kartographie,person,institution,PositionAn
2892,Geologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geologie,person,institution,PositionAn
2893,Geologie und Lagerstättenkunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geologie und Lagerstättenkunde,person,institution,PositionAn
2894,Geologie und Paläontologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geologie und Paläontologie,person,institution,PositionAn
2895,Geometrie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geometrie,person,institution,PositionAn
2896,gerichtlichen Medizin,,person institution relation,hat Position inne >> Priv.-Doz. >> >> gerichtlichen Medizin,person,institution,PositionAn
2897,germanische Philologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> germanische Philologie,person,institution,PositionAn
2898,germanische Sprachgeschichte und Altertumskunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> germanische Sprachgeschichte und Altertumskunde,person,institution,PositionAn
2899,Geschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte,person,institution,PositionAn
2900,Geschichte der Neuzeit,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte der Neuzeit,person,institution,PositionAn
2901,Geschichte des Altertums,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte des Altertums,person,institution,PositionAn
2902,Geschichte des Mittelalters und historische Hilfswissenschaften,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte des Mittelalters und historische Hilfswissenschaften,person,institution,PositionAn
2903,Geschichte des Orients,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte des Orients,person,institution,PositionAn
2904,Geschichte und historische Hilfswissenschaften,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte und historische Hilfswissenschaften,person,institution,PositionAn
2905,Geschichte und ihre Hilfswissenschaften,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Geschichte und ihre Hilfswissenschaften,person,institution,PositionAn
2906,griechische Altertumskunde und Epigraphik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> griechische Altertumskunde und Epigraphik,person,institution,PositionAn
2907,"griechische Geschichte, Altertumskunde und Epigraphik",,person institution relation,"hat Position inne >> Priv.-Doz. >> >> griechische Geschichte, Altertumskunde und Epigraphik",person,institution,PositionAn
2908,Grundbau und Bodenmechanik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Grundbau und Bodenmechanik,person,institution,PositionAn
